GSM	sample_title	accession_number	accession_name	growth_temperature	tissue	developmental_stage	target_gene	raw_counts	RPKM	processed_file
GSM1321870	s6151_10C	6151	T990	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321870/suppl/GSM1321870_s6151_10C_expression_table.txt.gz
GSM1321871	s6151_16C	6151	T990	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321871/suppl/GSM1321871_s6151_16C_expression_table.txt.gz
GSM1321872	s6153_10C	6153	TAA 03	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321872/suppl/GSM1321872_s6153_10C_expression_table.txt.gz
GSM1321873	s6153_16C	6153	TAA 03	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321873/suppl/GSM1321873_s6153_16C_expression_table.txt.gz
GSM1321874	s6172_10C	6172	TÅD 04	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321874/suppl/GSM1321874_s6172_10C_expression_table.txt.gz
GSM1321875	s6172_16C	6172	TÅD 04	16C	whole rosette	9-leaf stage	AT1G11560	0.5	0.000361402155013	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321875/suppl/GSM1321875_s6172_16C_expression_table.txt.gz
GSM1321876	s6173_10C	6173	TÅD 05	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321876/suppl/GSM1321876_s6173_10C_expression_table.txt.gz
GSM1321877	s6173_16C	6173	TÅD 05	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321877/suppl/GSM1321877_s6173_16C_expression_table.txt.gz
GSM1321878	s6180_10C	6180	TÄL 07	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321878/suppl/GSM1321878_s6180_10C_expression_table.txt.gz
GSM1321879	s6180_16C	6180	TÄL 07	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321879/suppl/GSM1321879_s6180_16C_expression_table.txt.gz
