GSM	sample_title	accession_id	cultivar	tissue	developmental_stage
GSM2136050	IP-Ara-4 (9520)	9520	IP-Ara-4	leaf	before bolting
GSM2136051	IP-Bar-1 (9521)	9521	IP-Bar-1	leaf	before bolting
GSM2136052	IP-Bea-0 (9522)	9522	IP-Bea-0	leaf	before bolting
GSM2136053	IP-Ben-0 (9523)	9523	IP-Ben-0	leaf	before bolting
GSM2136054	IP-Ber-0 (9524)	9524	IP-Ber-0	leaf	before bolting
GSM2136055	IP-Bis-0 (9525)	9525	IP-Bis-0	leaf	before bolting
GSM2136056	IP-Cab-3 (9526)	9526	IP-Cab-3	leaf	before bolting
GSM2136057	IP-Cad-0 (9527)	9527	IP-Cad-0	leaf	before bolting
GSM2136058	IP-Cap-1 (9529)	9529	IP-Cap-1	leaf	before bolting
GSM2136059	IP-Car-1 (9530)	9530	IP-Car-1	leaf	before bolting
GSM2136060	IP-Cdc-3 (9531)	9531	IP-Cdc-3	leaf	before bolting
GSM2136061	IP-Cdo-0 (9532)	9532	IP-Cdo-0	leaf	before bolting
GSM2136062	IP-Cem-0 (9533)	9533	IP-Cem-0	leaf	before bolting
GSM2136063	IP-Cmo-3 (9534)	9534	IP-Cmo-3	leaf	before bolting
GSM2136064	IP-Coc-1 (9535)	9535	IP-Coc-1	leaf	before bolting
GSM2136065	IP-Cum-1 (9537)	9537	IP-Cum-1	leaf	before bolting
GSM2136066	IP-Cur-4 (9538)	9538	IP-Cur-4	leaf	before bolting
GSM2136067	IP-Elb-0 (9540)	9540	IP-Elb-0	leaf	before bolting
GSM2136068	IP-Fue-2 (9541)	9541	IP-Fue-2	leaf	before bolting
GSM2136069	IP-Fun-0 (9542)	9542	IP-Fun-0	leaf	before bolting
GSM2136070	IP-Gra-0 (9543)	9543	IP-Gra-0	leaf	before bolting
GSM2136071	IP-Gua-1 (9544)	9544	IP-Gua-1	leaf	before bolting
GSM2136072	IP-Her-12 (9545)	9545	IP-Her-12	leaf	before bolting
GSM2136073	IP-Hom-4 (9546)	9546	IP-Hom-4	leaf	before bolting
GSM2136074	IP-Hor-0 (9547)	9547	IP-Hor-0	leaf	before bolting
GSM2136075	IP-Hoy-0 (9548)	9548	IP-Hoy-0	leaf	before bolting
GSM2136076	IP-Hum-2 (9549)	9549	IP-Hum-2	leaf	before bolting
GSM2136077	IP-Iso-4 (9550)	9550	IP-Iso-4	leaf	before bolting
GSM2136078	IP-Jim-1 (9551)	9551	IP-Jim-1	leaf	before bolting
GSM2136079	IP-Lab-7 (9552)	9552	IP-Lab-7	leaf	before bolting
GSM2136080	IP-Ldd-0 (9553)	9553	IP-Ldd-0	leaf	before bolting
GSM2136081	IP-Lso-0 (9554)	9554	IP-Lso-0	leaf	before bolting
